,h0,h1,h2
aphanizomenon,-0.9446637,-1.7261118,0.943124
askenasia,-1.4409174,-1.171722,-0.50964004
asplanchna,-1.8282464,0.43989962,1.0083402
asterionella,-0.0537512,-0.009724474,-0.9762928
aulacoseira,1.4887131,-0.4820432,0.40163437
bosmina,0.31754902,0.50724053,0.4321067
centric_diatom,1.43628,0.88486016,-0.37096977
ceratium,-1.5417763,-2.4162188,0.4064779
chaoborus,-0.78701323,-1.6403327,0.1349929
chlorophyte,-4.1585236,1.7716101,-5.3371787
chlorophyte_colonial_dividing,-3.614871,-1.4169407,-4.453193
chlorophyte_elongated,-1.6461569,0.17144582,-1.4680661
chlorophyte_frame,-3.7187047,-0.8836399,-3.1115026
chlorophyte_square,-2.3363404,-0.47411582,-4.8810673
chroococcales,-1.0126398,-1.502184,-3.9416728
chydorus,0.2898632,-1.1351024,0.11521666
ciliate,-0.56365615,1.0592502,-0.1447758
ciliate_big,0.24153821,-3.7641735,1.5788475
ciliate_blue,0.006362205,-0.19829875,-1.54873
ciliate_green,-2.9481483,-2.5029192,0.053794306
ciliate_round,0.3239028,-0.05459461,-0.10065717
closterium,2.6057684,-0.76790464,-1.4838188
coelastrum_reticulatum,1.5835323,-1.6451316,-1.769579
coelosphaerium,-1.4838457,-2.0737038,-2.2125022
coleps,1.0963078,-0.9702603,-1.5462968
collotheca,-0.7767662,-2.8850367,-1.6809875
conochilus,-2.1868784,-0.58583367,2.3687315
cosmarium,-1.0916516,-1.426833,-2.713546
cryptophyte,-3.1821642,1.3887576,-1.685305
cyanobacteria_colonial_blue,-0.43659675,-0.97521704,-2.9450893
cyanobacteria_colonial_clathrate,0.06803325,-2.3927028,-2.0353353
cyanobacteria_colonial_probably,-0.4889255,-2.715208,-2.700151
cyanobacteria_filamentous,1.1913493,-1.3721455,-0.7086818
cyclops,-2.41809,-0.29064563,-1.2196814
daphnia,-1.9526408,-3.2415116,2.455848
daphnia_cucullata,1.0193533,-1.8255663,0.025006548
diaphanosoma,0.18092023,-1.2873356,-1.3015913
didinium,-0.34328648,-0.02052105,-1.0008755
dinobryon,-4.4162374,-4.588202,-0.6544235
dinoflagellate_diamond,2.789851,2.8257587,1.278672
dolichospermum,0.32189503,-1.2886659,-1.334081
eudiaptomus,-0.509377,-0.4124863,0.4931758
fragilaria,1.5532058,-2.0005398,-0.5905881
gonium,-4.020738,-1.7824634,-2.1635346
gymnodinium,-0.38967478,0.84017295,-2.1908207
kellicottia,-1.1369303,1.4375197,-0.36969507
keratella_cochlearis,-0.1538548,-1.5135798,-0.5507242
keratella_quadrata,-1.5729966,-0.18808128,0.91433847
leptodora,-0.31539318,-1.9711972,-0.5061014
limnoraphis,-0.082685776,-2.0267782,0.5777512
mallomonas_akrokomos,-1.8905674,1.1479,-0.27556184
mallomonas_big,0.49259895,-2.0139234,-1.1844022
nauplius,-4.9673767,1.5060493,-0.0952316
oocystaceae,-2.4692094,-1.1786811,-2.6638353
pandorina,0.8748352,-0.81554955,-1.2096027
paradileptus,-0.3531422,-2.8503175,0.090546824
pediastrum,1.2505654,-2.3056724,-2.8753924
pennate_diatom,-0.83905125,0.08134691,-0.22024266
peridinium,-0.4060751,0.026093045,-1.888561
phacotus,-2.3180974,-1.1326492,-1.9962289
plankton_x,-1.3825532,-0.574785,-1.7508742
plankton_y,0.2963171,0.7514447,-1.4640745
plankton_z,-2.307774,-0.92813325,-2.374409
planktosphaeria,-1.3192337,-0.09058331,-0.63815236
polyarthra,-2.6032312,1.3558751,-0.60099
protist_like_ciliate,-0.91060245,0.25640345,-2.2067165
rhodomonas,-3.3016431,2.9432452,0.22701317
rotifer,-4.2550373,0.063882194,0.34399435
rotifer_long,-1.8378214,-0.45466504,-0.3891423
rotifer_z,-1.1252398,-1.4787942,-1.2970228
scenedesmus,-0.43659675,-2.536532,-1.9265991
snowella,-0.12234508,-2.8962586,-1.2211031
staurastrum,0.5529972,-0.8347786,-1.1583263
strombidium,-1.8445761,0.4131822,-0.64229196
synchaeta,-0.03871055,-0.5600002,1.2514168
synedra,-1.2827739,-1.2031258,1.2557489
synedra_angustissima,1.6323617,-0.9277379,-0.28190202
synura,1.9542676,-1.547465,-1.6549653
tetraedron,-1.2620851,-1.2841134,-2.5791664
tintinnid,0.47954747,0.2072687,-0.40411654
trichocerca,-2.6757631,-1.3426296,-0.15584947
uroglena,-2.4799109,-3.1129005,0.5298144
vorticella_epistylis_like,0.536994,-0.25834814,-1.1230663
