,h0,h1,h2,h3
aphanizomenon,-1.5990093,-0.0126440665,1.5069592,-1.51444
askenasia,-0.6930905,-0.97802246,-0.76935047,-0.84648
asplanchna,0.1340515,1.4313557,-0.76459837,-1.4448917
asterionella,-2.7866726,0.2994969,-1.4239936,1.1280899
aulacoseira,-1.6169525,0.58154124,1.6634399,1.0430851
bosmina,0.18178245,0.6641325,1.1215955,-0.14839497
centric_diatom,-1.5517429,1.3744907,-0.6021381,1.9875634
ceratium,-2.357831,-0.7827817,0.37914273,-1.1804607
chaoborus,-0.2577431,-1.1159829,1.0559167,-1.6879624
chlorophyte,-5.739238,-0.899718,-3.4838104,-3.49953
chlorophyte_colonial_dividing,-2.3628035,-3.2158985,-5.3726,-3.2884033
chlorophyte_elongated,0.75991005,-1.384909,-2.2505016,-1.0504701
chlorophyte_frame,-1.408464,-2.1173604,-2.958049,-3.404553
chlorophyte_square,-3.2642863,-2.4832323,-2.2415047,-2.6458855
chroococcales,-2.1653752,-2.8746493,-2.4053588,-0.8326924
chydorus,0.66616684,-1.291355,0.9115662,-0.41873646
ciliate,0.012247053,1.1332752,-1.2127802,0.0016902847
ciliate_big,-3.0784717,0.061201375,3.026332,-1.5964097
ciliate_blue,-0.912238,-0.83806837,0.4845767,-0.7319052
ciliate_green,0.099221945,-1.9610043,-1.3835282,-2.010926
ciliate_round,-1.6213033,0.88203204,-0.13572264,0.676483
closterium,-2.034759,-1.3541112,0.17549874,3.038214
coelastrum_reticulatum,-0.67087114,-2.7399127,-0.47772384,1.8929995
coelosphaerium,-1.523787,-2.948098,-0.8289605,-1.2933795
coleps,-1.1914074,-1.5067831,0.21366003,0.64158463
collotheca,-0.36482695,-3.406452,-0.26041704,-0.8605017
conochilus,-0.09265204,1.454592,0.005011428,-1.4587332
cosmarium,-0.65058255,-2.7949975,-1.9571174,-0.6418996
cryptophyte,-0.7835375,0.29183048,-0.944717,-3.2184052
cyanobacteria_colonial_blue,-1.6107976,-2.5428813,-1.3588033,-0.5229651
cyanobacteria_colonial_clathrate,-1.5599831,-3.2944646,-1.5475413,0.7782798
cyanobacteria_colonial_probably,-0.8110187,-3.913569,-0.4903979,-1.1818429
cyanobacteria_filamentous,-0.7928515,-1.4837599,0.8174876,0.62292886
cyclops,-0.27845752,-0.864328,-1.001999,-2.4859734
daphnia,0.40838134,-1.3236423,2.4415417,-2.804875
daphnia_cucullata,0.6486218,-2.4816606,2.334552,-0.17199866
diaphanosoma,-0.37945005,-1.9598176,0.34392148,-0.22916867
didinium,-1.3725168,-0.14948621,-1.1958308,0.37745506
dinobryon,-0.7931911,-3.514016,-2.4632716,-2.6454244
dinoflagellate_diamond,-1.0777255,4.165459,1.6315217,2.840539
dolichospermum,-0.53061897,-1.9063333,0.33534977,-0.22177312
eudiaptomus,0.36964983,-0.1563747,0.052479498,-0.32531613
fragilaria,-2.5305874,-1.7356672,-0.26364326,2.8163881
gonium,-0.7536487,-2.486291,-2.2427309,-3.538889
gymnodinium,-2.895062,0.5055735,-1.2311429,-0.32579234
kellicottia,-1.3889982,2.1481895,-1.1754138,-1.0474367
keratella_cochlearis,-1.9247475,-0.8036938,-0.6090456,0.002031142
keratella_quadrata,-1.2327342,1.5156732,-0.5967881,-1.276319
leptodora,-1.6712285,-1.5989944,2.2607937,-1.5219063
limnoraphis,-0.80589956,-1.3108969,3.108252,-2.0139778
mallomonas_akrokomos,1.011156,0.57912874,-2.515805,-0.73693913
mallomonas_big,-1.094368,-2.2553866,-0.8801144,1.2633811
nauplius,-0.17532724,1.7514086,-2.6301174,-3.8447278
oocystaceae,-2.0361989,-2.5428107,0.78444546,-3.9428287
pandorina,-2.5425177,-0.6136018,-0.777255,1.3326566
paradileptus,-2.7249758,-1.5999583,2.1498008,-0.8276906
pediastrum,0.21020754,-3.9636939,-0.5016278,0.44486535
pennate_diatom,-2.0157783,1.4119908,-0.019059965,-1.1295168
peridinium,-2.1806817,-0.41141856,-1.637264,0.37236488
phacotus,-2.3610487,-1.4235831,-1.4730359,-2.1188786
plankton_x,-0.87195677,-1.2213234,-1.0625364,-0.76407564
plankton_y,-1.7145119,0.6135902,-1.4818745,1.068395
plankton_z,-2.2627122,-1.6487297,-2.6413357,-1.4640533
planktosphaeria,-0.574231,-0.19327074,-1.6241248,-0.61396706
polyarthra,0.8806514,0.3062701,-1.895417,-1.8177718
protist_like_ciliate,-2.852738,-0.07668762,-0.7068057,-1.2534378
rhodomonas,-0.099061884,2.8889697,-1.9636664,-2.0318382
rotifer,0.33916405,0.42372483,-2.0573664,-2.9987223
rotifer_long,0.60161304,-1.0706484,-0.7842566,-1.4719114
rotifer_z,-0.33141133,-2.1630104,-0.5461724,-0.67012423
scenedesmus,-1.5456802,-2.9685218,1.4413483,-1.4849883
snowella,2.39123,-5.7366915,0.18103266,-1.5818497
staurastrum,-1.4975319,-1.0708116,-1.3613383,1.5112457
strombidium,-1.8520639,1.2196598,-1.8800697,-1.3589438
synchaeta,-0.051054705,0.68560857,0.21630082,0.27310634
synedra,-0.66806525,0.4954921,0.36383882,-1.2135208
synedra_angustissima,-1.121265,-0.66951793,2.7445714,0.28942853
synura,-0.04860659,-2.5048852,-0.072767995,1.5548726
tetraedron,-2.364161,-1.6969174,-1.3575144,-1.4296906
tintinnid,-1.5041618,0.6946781,-0.18759932,0.65450686
trichocerca,-0.66392004,-0.9319379,-1.0089681,-2.085086
uroglena,-0.4937171,-1.8354775,-0.27401555,-1.7366973
vorticella_epistylis_like,-2.5413115,0.19072981,0.14524764,0.40614927
