,h0,h1,h2,h3,h4
aphanizomenon,1.0999935,0.42508137,-2.4609084,-1.8925369,0.007006739
askenasia,-1.4524336,-0.4871315,-0.40824294,-1.6832303,0.23927371
asplanchna,-0.8622217,1.4027956,-2.5231795,0.33199096,-1.2141551
asterionella,-0.9650339,-0.029603908,0.44720346,-2.1691194,-0.22034551
aulacoseira,1.500898,-0.19155608,0.45907158,-1.450958,-0.53093857
bosmina,1.6919482,-0.61591256,-1.0337495,1.3903319,-0.43996122
centric_diatom,-0.3948874,-0.4309308,2.0200827,-1.1350479,-1.3343918
ceratium,-0.1914705,0.095359005,-1.6244779,-3.2556846,0.6575843
chaoborus,-0.06771653,0.6186291,-1.1676333,-0.39749873,1.159332
chlorophyte,-2.984878,-2.9315014,-1.8548722,-1.6016983,0.84252685
chlorophyte_colonial_dividing,-5.2650514,-2.114957,-0.75895846,-0.055098727,3.3673239
chlorophyte_elongated,-2.4984274,0.10978412,-0.05774992,0.80515957,1.3240329
chlorophyte_frame,-2.5779877,-2.7192192,-1.4209893,0.25959438,2.1581132
chlorophyte_square,-2.6349106,-3.6252244,-0.20416896,-0.05071999,3.4518187
chroococcales,-1.6711024,-3.1261127,0.8764891,0.35442936,3.5692635
chydorus,0.42822528,0.07118692,0.0603672,-0.60814863,0.7541428
ciliate,-1.3430372,-0.7950741,0.72513986,0.019646207,-1.4484607
ciliate_big,2.1350794,0.3915175,-3.7792797,-2.3215706,0.052791245
ciliate_blue,0.6067516,-2.038749,-0.20684107,-0.7639098,0.34637237
ciliate_green,-2.9213574,1.06023,-1.7200284,-1.9768288,1.578493
ciliate_round,0.36759746,-0.40698916,-0.22562768,-0.8156445,-0.7864844
closterium,0.84288543,-0.22819898,2.6509128,-2.6717906,1.3375506
coelastrum_reticulatum,0.15604183,0.2629196,1.1216683,-1.2406886,2.4693935
coelosphaerium,-0.8552536,-1.693637,-0.46154448,-0.21201716,2.7336469
coleps,0.16378525,-0.53987694,1.2473598,-1.3606695,1.3863811
collotheca,-0.15351406,-0.67643625,-0.6349289,-0.6771207,3.1380925
conochilus,-0.82619727,1.4528984,-1.8720661,-0.22771089,-1.3869442
cosmarium,-1.9323009,-0.85467476,0.27992225,-0.3594254,2.600554
cryptophyte,-0.75353897,-1.8573744,-2.8418849,0.3981084,-0.75273216
cyanobacteria_colonial_blue,-1.2447691,-0.22869013,-0.63269114,-0.7960735,2.35737
cyanobacteria_colonial_clathrate,-1.6792544,1.6751144,0.08903254,-2.5393043,3.1525793
cyanobacteria_colonial_probably,-0.26996452,-1.3335258,-0.7234726,0.21943665,4.0137644
cyanobacteria_filamentous,1.8440452,-0.41705987,-0.21319471,-1.1879892,1.521804
cyclops,-1.9332665,-0.6059455,-1.2357397,0.31326365,0.88170767
daphnia,1.6228099,2.3951283,-4.0862207,-0.6819119,1.8545958
daphnia_cucullata,2.1220787,-0.26985994,-0.6862965,0.22285537,1.8810685
diaphanosoma,0.44439313,-0.86024785,-0.16095221,-0.30653897,1.5991937
didinium,-0.74788374,-1.1688669,0.5316931,-1.3347825,-0.25169876
dinobryon,-5.70874,3.072545,-3.7609146,-5.0066605,4.355249
dinoflagellate_diamond,3.6758885,-0.8186654,1.2657925,0.68615437,-3.362019
dolichospermum,0.38806346,-1.0206002,0.42054304,-1.6483618,1.5322005
eudiaptomus,-1.1234584,1.0120925,0.033865806,-0.16599737,-0.060588438
fragilaria,-0.37030134,1.6810186,1.6341628,-3.2364485,1.9617411
