,h0,h1,h2,h3,h4,h5
aphanizomenon,0.15291306,-0.60260093,-2.7830603,0.99562794,-0.43574786,-1.4996965
askenasia,0.24061292,0.49903584,0.2660405,-1.8023865,-0.71299374,-1.2931855
asplanchna,3.1006968,0.4591375,-2.0186913,-1.3083872,-0.1539925,0.48187023
asterionella,1.162944,1.1248697,0.1778525,0.22128944,-1.6403245,-0.5705947
aulacoseira,0.7535907,-0.103572085,-0.47453782,2.6192875,-1.1202784,-0.7591701
bosmina,-0.4169255,-0.34311107,-1.2793266,1.5705202,0.22767402,1.4956164
centric_diatom,1.1786677,-0.0053018853,1.5842041,0.6792667,-1.293756,-0.014592755
ceratium,0.3310135,-1.2548732,-2.4705293,-0.10075839,-2.4611218,-4.2996793
chaoborus,0.49155068,0.51468104,-1.1524389,-0.48357746,0.04374942,-1.436366
chlorophyte,-0.30777425,3.7232056,-1.3684089,-1.3098353,-5.8005576,2.818879
chlorophyte_colonial_dividing,-2.1268084,4.5078883,1.6611835,-3.734491,-1.8731443,1.0505964
chlorophyte_elongated,-0.5062493,1.6060714,-0.4876409,-1.6228402,0.47960067,0.9960916
chlorophyte_frame,-1.8398426,1.8947437,-0.39187673,-2.359661,-1.4287176,0.48194933
chlorophyte_square,-2.9492078,3.1222997,-0.42348447,-0.82396597,-1.9411014,1.3767928
chroococcales,-3.3856258,2.2735293,0.3280704,-0.6591407,-0.7926753,0.26678112
chydorus,-0.07523977,0.45431194,-0.3160305,0.55045134,0.2468315,-0.8116219
ciliate,-0.43322796,-0.9739589,0.10089303,-0.55916834,-0.5191554,0.7853764
ciliate_big,0.48454937,-0.59760076,-3.4162447,1.8565706,-0.9569099,-2.5039425
ciliate_blue,-1.4303161,0.24877858,-0.08740847,0.35911667,-0.5583251,-0.25945172
ciliate_green,0.98807853,0.523225,0.39216626,-4.0279703,-0.32445416,-3.6034672
ciliate_round,0.40812942,0.6491786,-1.2212968,1.6839706,-0.44223884,0.32694712
closterium,-0.37495527,1.3920088,1.5680752,2.137608,-0.95016634,-1.3006626
coelastrum_reticulatum,-0.7904169,2.3023407,0.60867965,0.92248493,0.6500772,-1.5640556
coelosphaerium,-2.420855,1.7543403,-0.21944787,-1.2325492,-0.2071121,-0.63539475
coleps,-1.6092383,0.7617569,0.78199536,0.372467,0.642852,-1.0639318
collotheca,-2.1848645,1.5251969,-1.2226654,-0.7169597,0.88271534,-2.2791588
conochilus,1.5648485,-1.3838723,-1.6804702,-1.2628635,0.044800278,-0.5204942
cosmarium,-1.5998996,1.6879035,0.22195135,-1.202347,-0.85072225,-0.5279022
cryptophyte,-0.7545301,0.1421213,-3.6506033,-0.46394876,-1.3473154,1.8311275
cyanobacteria_colonial_blue,-0.36298645,4.1685715,-0.44797707,-0.5628776,0.3233309,0.70629984
