,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.776911,-2.13381,-0.21268721,-0.14171784,0.86799675,-3.7170467,0.7758692
askenasia,-1.5207886,-1.7753248,0.27035484,-0.44584963,-0.507234,0.3096828,-1.7973808
asplanchna,-0.62837636,0.7438032,1.4433094,-1.0434428,1.3772168,-2.5264268,-0.03226382
asterionella,0.5638307,-0.6151683,0.5931586,-3.6529872,0.9739295,-0.8147236,0.035410356
aulacoseira,2.49685,-1.6982543,-0.80331844,-0.23949169,1.3199301,-0.6582125,0.6700915
bosmina,1.2719674,1.2901148,-0.82299894,0.95519024,0.09017036,-1.2342755,1.0563523
centric_diatom,0.9338899,-0.6833015,-0.14714347,-1.4790188,1.8072515,1.5888973,-0.7138026
ceratium,1.7887065,-3.1882973,0.5970124,-0.6932345,-1.473634,-2.3128793,-0.9141115
chaoborus,-0.24531065,-1.1074193,0.6590723,0.54983985,-1.1411544,-1.3747094,-0.19481127
chlorophyte,-1.3134302,0.40012717,-2.4228644,-2.3719532,-2.8921382,-1.168316,-6.040593
chlorophyte_colonial_dividing,-5.5196743,0.9564797,-1.0136576,-3.2645342,-3.9442735,0.7021173,-2.731985
chlorophyte_elongated,-2.659688,1.2808656,-0.042063713,-0.82409686,-0.9362625,-0.0723079,-0.42755064
chlorophyte_frame,-2.9583783,0.18282042,-1.6549877,-1.0573953,-2.4669533,-0.93828535,-2.273565
chlorophyte_square,-3.1844509,0.4809864,-3.0276568,-1.8362652,-2.8201802,-0.6973603,-0.8078639
chroococcales,-2.3994596,-0.057017528,-3.0617926,-1.2921501,-2.4509652,0.07185346,0.0641778
chydorus,-1.6396129,-1.728821,-0.608347,1.0413803,0.3984516,0.49001172,0.13519137
ciliate,0.016484851,0.53113794,-0.5079436,-0.1251814,0.8205645,0.13847478,-0.96901727
ciliate_big,1.5150484,-3.2174094,-0.83111924,-0.22005582,0.67604417,-4.6954994,1.4574702
ciliate_blue,-0.53865325,-1.0162951,-1.7994144,0.6928253,-0.46840003,0.3107357,-0.31704342
ciliate_green,-2.61644,-3.61687,2.2092187,0.8415865,-2.5097635,0.13649349,-3.031231
ciliate_round,0.7440399,0.12069256,-0.9252756,-1.550473,1.7300509,-1.4838892,1.3766378
closterium,-0.1386753,-1.9889187,-0.7992216,-2.2288854,0.76978636,2.5300756,1.1376039
coelastrum_reticulatum,-1.40904,-1.301635,-0.35511258,-1.3860565,-0.7820407,0.6931893,1.7928166
coelosphaerium,-1.7070831,-0.15808055,-1.4470853,-0.9401588,-2.4761884,-0.4572527,0.23569748
coleps,-0.62862474,-0.8427669,-1.1419743,-0.9282496,-0.71144485,0.8122373,1.0843304
collotheca,-2.4356403,-2.4410348,-0.92130053,-0.53909785,-1.7898843,-1.2533745,1.3390157
conochilus,1.249899,0.053072896,1.849405,0.3005554,0.31642756,-3.0875514,-0.91519153
cosmarium,-2.326501,-0.36571175,-0.62885153,-1.352333,-1.9400505,0.60508376,-0.6992321
cryptophyte,-1.04568,0.45671004,-1.6596217,0.1201804,0.3649853,-2.9250464,-1.4712348
cyanobacteria_colonial_blue,-3.864631,1.1647797,0.05735572,-2.9309,-2.2511208,-0.7490976,1.8236963
cyanobacteria_colonial_clathrate,-3.1144104,-0.4364226,2.0281734,-3.6697025,-2.8961048,0.45091665,1.5980452
cyanobacteria_colonial_probably,-5.6504297,-0.04764368,-1.7898178,-0.40899575,-3.2897413,-2.5276957,3.2487087
cyanobacteria_filamentous,-0.42996886,-1.6990099,-1.6663115,0.28792822,0.08054183,-0.30647305,1.8415166
cyclops,-1.6778811,0.34308618,-0.6547294,0.3883174,-1.0800062,-1.5083848,-0.8442387
daphnia,-1.245197,-2.6735957,1.1649227,2.4011352,-0.99122185,-4.0181055,0.85480905
