,h0,h1,h2
aphanizomenon,0.074138105,-0.14427753,-0.22392833
askenasia,0.30344343,-0.06202005,0.02511357
asplanchna,0.0255831,-0.29607254,-0.05616023
asterionella,0.0460028,-0.26484787,-0.026345717
aulacoseira,0.011225277,0.010053727,0.007850756
bosmina,0.031291097,-0.1789128,0.1462219
centric_diatom,-0.14222473,-0.157765,-0.0697586
ceratium,-0.06808199,-0.13490054,0.06590857
chaoborus,-0.038423106,0.055761203,-0.10621551
chlorophyte,-0.10816625,-0.10264317,-0.09406285
chlorophyte_colonial_dividing,-0.11852016,-0.1104418,-0.10349445
chlorophyte_elongated,-0.20389412,0.19970597,0.1650737
chlorophyte_frame,-0.022520386,-0.056144945,-0.1278355
chlorophyte_square,-0.051189005,-0.3097072,0.029329326
chroococcales,-0.17445607,-0.14365382,-0.32077178
chydorus,-0.023269817,0.37990904,0.044958126
ciliate,0.014163921,0.10490805,-0.05732393
ciliate_big,0.10728855,-0.038148466,-0.06341014
ciliate_blue,-0.08944186,-0.104110934,-0.0071627134
ciliate_green,-0.1998496,-0.18566456,0.1562603
ciliate_round,-0.0351885,0.018804058,-0.20480882
closterium,-0.18018581,-0.0038232543,-0.08051654
coelastrum_reticulatum,0.19748126,-0.017675456,-0.10881241
coelosphaerium,-0.05503081,-0.38942185,0.17812121
coleps,0.10097647,-0.22643495,-0.12944353
collotheca,-0.08245407,0.14237402,0.00033533352
conochilus,-0.22165492,-0.17555769,0.1711038
cosmarium,-0.22194064,-0.019342177,0.25425628
cryptophyte,-0.036403272,-0.034349736,-0.03168388
cyanobacteria_colonial_blue,-0.23431365,-0.2259575,-0.01428063
cyanobacteria_colonial_clathrate,-0.60266227,-0.18893312,0.047909506
cyanobacteria_colonial_probably,-0.15985161,-0.10805019,-0.13343543
cyanobacteria_filamentous,0.021419335,-0.09556939,-0.22072423
cyclops,-0.13560496,-0.14710411,-0.10742367
daphnia,-0.33382368,0.04128965,-0.16137871
daphnia_cucullata,0.042241104,0.006519074,0.024055418
diaphanosoma,-0.023542244,-0.091615826,0.4703753
didinium,0.078626804,0.12663952,-0.27827132
dinobryon,-0.041964844,-0.039477143,-0.03631749
dinoflagellate_diamond,-0.017256837,-0.35829252,-0.045339637
dolichospermum,-0.25988397,0.09926284,0.4150849
eudiaptomus,-0.13087185,-0.03318973,-0.0070843375
fragilaria,-0.12852624,-0.12420477,-0.20715638
gonium,0.0010504,-0.0053273086,0.07967138
gymnodinium,-0.14662538,0.008159192,-0.061694976
kellicottia,-0.045841128,-0.019002596,-0.030565783
keratella_cochlearis,-0.0103732925,0.035517555,0.28112826
keratella_quadrata,0.011444428,-0.2438358,0.040729403
leptodora,-0.078751445,-0.16045034,-0.07435312
limnoraphis,0.21599725,-0.08339341,-0.29255235
mallomonas_akrokomos,-0.15232518,-0.06893975,0.11354571
mallomonas_big,-0.26389942,-0.10126849,-0.31211162
nauplius,-0.2004543,-0.19230479,-0.12887983
oocystaceae,-0.12635642,-0.11551377,-0.10058682
pandorina,-0.29843324,-0.18255705,-0.29828727
paradileptus,0.05338142,-0.122328274,-0.12338229
pediastrum,-0.022922423,0.4799433,-0.08216004
pennate_diatom,-0.08570662,0.16939092,-0.18763725
peridinium,0.3380565,-0.05656149,-0.14105028
phacotus,-0.2891963,-0.10347653,0.045182604
plankton_x,-0.25374866,0.21816373,-0.099226266
plankton_y,0.20584913,0.14215504,0.122029416
plankton_z,-0.26017147,0.1599187,-0.15278189
planktosphaeria,-0.17165688,-0.10786465,0.21812496
polyarthra,-0.03804251,0.0026978524,0.033022575
protist_like_ciliate,-0.1575824,-0.0035635594,0.025938863
rhodomonas,-0.12150119,-0.09730123,-0.10872298
rotifer,-0.15545169,-0.1714322,-0.1586546
rotifer_long,0.211634,-0.110514626,-0.21324445
rotifer_z,0.030314548,-0.06322122,0.6108984
scenedesmus,-0.08916553,-0.110696375,0.031952955
snowella,0.15220667,-0.58335614,0.081488095
staurastrum,-0.019776268,0.007812717,-0.11248516
strombidium,-0.3596301,-0.13056117,0.14333804
synchaeta,-0.09403472,-0.063333295,0.115903385
synedra,-0.18893941,0.084525846,-0.13502604
synedra_angustissima,-0.06255072,-0.15965782,-0.07151012
synura,0.10824957,-0.1316999,0.10557976
tetraedron,0.04291825,-0.08910808,-0.17719427
tintinnid,0.30058277,-0.16675928,-0.37416813
trichocerca,0.06501098,-0.17780918,0.13278839
uroglena,-0.168192,-0.1819082,-0.100643225
vorticella_epistylis_like,-0.12638003,-0.40962702,0.05583215
