,h0,h1,h2,h3
aphanizomenon,0.07194303,-0.14068323,-0.23037997,0.26247814
askenasia,-0.040729806,0.04204917,0.03391244,-0.30962664
asplanchna,-0.094837524,0.27553838,-0.25742945,0.1288382
asterionella,-0.102301285,-0.109487794,-0.13982779,-0.026318103
aulacoseira,0.009110851,0.0062983963,0.012049799,0.0074730716
bosmina,0.27364138,-0.11141271,-0.2113057,0.027894063
centric_diatom,-0.14408676,-0.11327062,-0.17532273,-0.10761688
ceratium,-0.09883272,-0.03030105,-0.009752836,0.05270139
chaoborus,0.01106931,-0.13668905,0.38536084,0.3185276
chlorophyte,-0.11567165,-0.102942206,-0.15015195,-0.10342321
chlorophyte_colonial_dividing,-0.11949465,-0.099795744,-0.147551,-0.1047493
chlorophyte_elongated,-0.4063773,-0.05409849,0.26885402,-0.0007461141
chlorophyte_frame,0.007873454,0.09286911,-0.05467381,0.092191815
chlorophyte_square,-0.09665351,-0.10058012,-0.14094093,-0.13748313
chroococcales,-0.12325716,-0.20738955,-0.22577767,-0.05309114
chydorus,-0.035583425,0.018762652,-0.2030684,-0.18969434
ciliate,0.025354253,-0.06699562,0.2050705,-0.0148754455
ciliate_big,-0.114531524,-0.07914584,-0.49090436,0.20612377
ciliate_blue,0.08574439,-0.15589117,-0.07071853,-0.07058331
ciliate_green,0.1421994,6.361756e-05,-0.21418846,-0.17198582
ciliate_round,0.15422642,-0.2543949,-0.007910061,0.27906743
closterium,0.15136142,0.03663391,0.030135315,-0.31827074
coelastrum_reticulatum,-0.20655502,0.2657808,-0.5166632,-0.13172801
coelosphaerium,-0.042151157,-0.11082856,0.2054954,-0.03656096
coleps,0.17290673,-0.038534436,-0.28900754,0.060369845
collotheca,0.050959714,0.111262724,-0.39211088,0.21407712
conochilus,-0.14595616,0.04771873,0.01500248,0.030913835
cosmarium,-0.05533223,-0.09967181,0.39095804,0.0011662623
cryptophyte,-0.039973054,-0.034898803,-0.053069785,-0.03615823
cyanobacteria_colonial_blue,-0.12870578,-0.071636215,-0.28566566,-0.0927582
cyanobacteria_colonial_clathrate,-0.24524936,0.15390348,0.49880478,-0.11183304
cyanobacteria_colonial_probably,-0.13575758,-0.12524165,-0.11716573,-0.10248949
cyanobacteria_filamentous,-0.14577937,-0.061106365,-0.062766105,-0.016507732
cyclops,-0.15713191,-0.052102447,-0.11713882,-0.16528389
daphnia,-0.1119465,-0.11518559,-0.07155474,-0.0332664
daphnia_cucullata,0.3690231,0.048310827,-0.24295874,0.07737868
diaphanosoma,-0.06819292,-0.14853019,-0.058249854,0.23092577
didinium,-0.076760076,-0.29195043,-0.10607445,-0.007830914
dinobryon,-0.045137554,-0.04035208,-0.06041369,-0.0411516
dinoflagellate_diamond,-0.11092922,-0.096740805,0.06097799,-0.24580115
dolichospermum,-0.018508619,0.30530152,-0.26674858,-0.16712198
eudiaptomus,-0.2692865,0.074480526,-0.06762618,-0.07411725
fragilaria,-0.16113569,-0.02834354,-0.19135633,-0.13668062
gonium,0.45059747,-0.11753552,0.45996124,0.0049733855
gymnodinium,-0.09079797,-0.31257328,-0.15233316,-0.027997429
kellicottia,-0.22910175,0.17217988,-0.10127256,0.16533224
keratella_cochlearis,0.12675035,0.108941,-0.2250741,0.19278367
keratella_quadrata,-0.11449469,-0.17222543,-0.11399751,0.16522004
leptodora,-0.0038375075,0.037491553,0.06732473,-0.120038815
limnoraphis,0.06886929,0.09600998,-0.025154859,0.36072573
mallomonas_akrokomos,-0.031246483,0.018319095,-0.12723051,-0.10919388
mallomonas_big,0.07526417,-0.13026647,-0.20380932,-0.049653783
nauplius,-0.16300626,0.010658564,-0.18852551,-0.1701501
oocystaceae,-0.116868496,-0.103914045,-0.1614928,-0.10622626
pandorina,0.019567136,0.048577324,-0.07602993,-0.37084782
paradileptus,-0.18469347,0.07884731,-0.031818233,-0.0074310093
pediastrum,0.23887761,-0.20033123,0.09405875,-0.14480197
pennate_diatom,-0.11041731,-0.17548525,-0.11476893,0.027599514
peridinium,-0.09872928,0.112446494,0.029983716,-0.10101782
phacotus,-0.13410003,0.30256188,-0.09118402,-0.26674303
plankton_x,0.061189376,-0.19052117,0.12915893,2.2624704e-08
plankton_y,-0.06241406,0.28344736,-0.108928435,-0.39406744
plankton_z,0.000107907916,-0.24272089,-0.0018750818,0.039660912
planktosphaeria,-0.09663559,0.14437099,0.2173674,-0.13987066
polyarthra,-0.016297609,0.22078726,-0.23484603,-0.10057087
protist_like_ciliate,-0.026744654,0.102527276,-0.22617202,0.053975053
rhodomonas,-0.15043098,-0.12392423,-0.19109407,-0.14894372
rotifer,-0.16790758,-0.13599804,-0.22338472,-0.12158971
rotifer_long,0.25737223,-0.32671002,0.11404941,-0.043703977
rotifer_z,-0.17299479,0.45651466,0.26490524,0.13585012
scenedesmus,-0.23040475,-0.20489626,0.165265,-0.041219108
snowella,-0.36432865,-0.057701595,-0.20701376,0.08637914
staurastrum,-0.06802129,0.19106035,0.07669998,-0.5630549
strombidium,0.088784024,0.2720663,-0.38568306,0.029987423
synchaeta,0.26394176,-0.05298926,-0.02555323,-0.10441115
synedra,-0.013228254,0.14071602,-0.34996906,0.25111753
synedra_angustissima,0.11421443,-0.088548474,0.11670744,-0.051046383
synura,0.1639039,0.2857304,-0.16532484,0.11831735
tetraedron,-0.07691092,-0.04984718,-0.10995941,0.39750665
tintinnid,-0.11454262,-0.4967562,0.34627464,0.10966721
trichocerca,-0.06342219,0.32739773,0.15843254,0.00641419
uroglena,-0.073209114,-0.2089451,-0.070723824,-0.13754173
vorticella_epistylis_like,0.1374857,-0.22023427,-0.001790118,-0.03157725
