date,h0,h1,h2,h3,h4
2022-07-20,0.472866,0.60043055,0.47360483,0.515125,0.51533365
2024-11-17,0.47381434,0.6012381,0.47431603,0.51639795,0.5161854
2023-03-01,0.4732183,0.60083944,0.4739182,0.5157677,0.51558924
2022-12-04,0.47269362,0.60020345,0.47329143,0.5151673,0.51490325
2019-09-18,0.47155783,0.5997363,0.4727859,0.5153161,0.51435757
2024-09-09,0.4730864,0.600639,0.47389254,0.5155006,0.5154398
2022-02-25,0.473826,0.60109437,0.474184,0.5159006,0.5156872
2019-10-09,0.47327814,0.60111153,0.47433206,0.51601595,0.51575583
2021-09-08,0.47321177,0.6008937,0.47443604,0.5159032,0.5156474
2019-06-21,0.47277,0.6002669,0.47342455,0.515194,0.51516664
2020-10-27,0.47378233,0.60142356,0.47467974,0.51629716,0.5162469
2024-05-30,0.47361076,0.601328,0.47438014,0.51608527,0.51605177
2022-01-07,0.47416154,0.6018002,0.47491544,0.51661956,0.51651096
2023-12-19,0.47409004,0.6017375,0.474794,0.51655716,0.51640564
2021-01-28,0.47390878,0.60129464,0.4744047,0.5161173,0.51594394
2021-04-11,0.47316223,0.60073864,0.47404075,0.515538,0.5155124
2020-01-30,0.4740803,0.6015983,0.47475687,0.5165187,0.5164545
2024-06-05,0.47355428,0.60114956,0.47432873,0.51601154,0.5159956
2021-09-21,0.47340083,0.6010035,0.47445655,0.5158908,0.5158973
2024-10-02,0.47342917,0.6010933,0.47431082,0.5158171,0.5159338
2022-09-04,0.472369,0.600105,0.4730797,0.5147477,0.5147987
2023-01-31,0.47232568,0.5998289,0.4727957,0.51485443,0.51454896
2019-05-25,0.47363856,0.60121244,0.47436908,0.5161106,0.5160364
2021-07-15,0.47324038,0.60076493,0.4740881,0.5158635,0.5158313
2022-09-14,0.47168887,0.5992531,0.47214708,0.5138117,0.5141186
2021-05-05,0.47393703,0.601509,0.47467518,0.51637053,0.5163194
2023-01-08,0.4724129,0.5998645,0.4729356,0.5148559,0.51453257
2019-11-09,0.47394916,0.60162216,0.47476953,0.5164741,0.5163878
2019-12-29,0.47413912,0.6017832,0.47488114,0.51659924,0.5164937
2019-11-04,0.47389576,0.60158896,0.47472247,0.5164478,0.5163565
2021-10-26,0.47154042,0.5992677,0.4714118,0.5151048,0.5141415
2022-06-20,0.47322416,0.60078126,0.47414622,0.5155423,0.5155841
