,h0,h1,h2,h3,h4,h5
aphanizomenon,-0.12252605,-0.028684877,-0.46847,0.06891753,0.024809955,-0.057105143
askenasia,-0.116498426,-0.05914659,-0.21776818,-0.06713461,-0.33189905,0.4636835
asplanchna,-0.020908562,-0.10962721,0.14630596,0.12735578,-0.099315606,0.13459867
asterionella,0.06367611,0.022721075,-0.13075508,-0.22704948,-0.15029469,-0.20638616
aulacoseira,-0.017976845,-0.017181497,-0.014861777,-0.01633895,-0.016992282,-0.01578969
bosmina,0.23675944,-0.08627608,-0.14846408,-0.09473311,-0.21417998,-0.19244568
centric_diatom,-0.17112327,-0.13638104,-0.10699289,-0.06385812,-0.13262415,-0.107553475
ceratium,0.20346646,0.04984075,-0.08496521,0.10002483,-0.29580674,-0.17857327
chaoborus,-0.029181914,0.0779328,0.07949378,-0.008120159,0.18734558,-0.22626667
chlorophyte,-0.07331366,-0.069112055,-0.068740346,-0.071172416,-0.07443711,-0.06719322
chlorophyte_colonial_dividing,-0.09652775,-0.092010394,-0.08766514,-0.09626002,-0.097508386,-0.09501657
chlorophyte_elongated,0.11595054,-0.21895567,-0.18712316,-0.019814586,0.07436094,-0.089682356
chlorophyte_frame,-0.07769669,-0.05516791,0.16607358,-0.25398034,0.11915628,0.03315694
chlorophyte_square,-0.010319159,-0.10613321,-0.08540791,0.031818032,-0.41244987,-0.0038415003
chroococcales,-0.11403483,0.016536769,-0.109220855,-0.09627661,-0.08801696,-0.12538742
chydorus,0.20565024,0.35448965,0.027584663,0.11067274,0.24780186,-0.18940538
ciliate,-0.012215948,-0.3081623,-0.18506393,-0.08953264,0.0070332964,-0.0027310888
ciliate_big,0.11867274,0.18230994,-0.33503836,0.08985739,0.15051186,-0.17184433
ciliate_blue,0.01179055,-0.12285561,-0.345286,-0.10102832,0.2030196,-0.0015939585
ciliate_green,0.1778853,-0.29449242,-0.075212434,-0.30520183,0.26604477,-0.023349706
ciliate_round,0.43537882,-0.18967892,0.338075,-0.05110958,-0.18456699,-0.042767555
closterium,-0.09319984,-0.071925946,-0.21762325,-0.13065141,-0.13866071,0.28100842
coelastrum_reticulatum,-0.26110682,0.256881,-0.41000363,-0.16458721,0.059925396,-0.13814338
coelosphaerium,-0.024399336,-0.05765958,0.04106063,-0.023105223,0.061248317,-0.16734235
coleps,-0.07203254,0.11704144,0.008358077,0.33422127,-0.0743199,-0.03662856
collotheca,-0.0041123857,0.049793407,0.028546706,-0.25553963,0.015206807,-0.016764158
conochilus,0.22566196,0.27373913,0.16404524,-0.14794579,0.09424689,-0.07432941
cosmarium,-0.17668036,0.1578432,0.056300666,-0.08462525,-0.28175133,0.18062545
cryptophyte,-0.055848233,-0.05224902,-0.047742404,-0.052128408,-0.056512147,-0.051412445
cyanobacteria_colonial_blue,-0.22340886,0.024100885,-0.09839308,-0.15326922,-0.06797811,-0.09160004
cyanobacteria_colonial_clathrate,-0.26899478,0.39899203,-0.21239457,0.0630108,-0.12328712,0.14400405
cyanobacteria_colonial_probably,-0.15431857,-0.12739596,-0.119689226,-0.12227035,-0.14791578,-0.13670573
cyanobacteria_filamentous,-0.07649653,-0.2158237,-0.166741,-0.11028817,-0.016029567,-0.03201508
cyclops,-0.17835449,-0.100038305,-0.09309142,-0.19321217,-0.15210065,-0.07354008
daphnia,-0.14947,-0.3293437,-0.112824075,-0.060426615,-0.02958465,0.09029608
daphnia_cucullata,0.0047526155,0.08850067,-0.24414422,0.34246984,0.11886625,-0.25754452
diaphanosoma,-0.32506207,0.2081203,-0.022330899,-0.09129703,0.07631977,-0.068154275
didinium,0.48242202,0.109481074,0.18361588,0.053795442,-0.47513485,0.08115351
dinobryon,-0.045597594,-0.043764077,-0.040456053,-0.043695595,-0.046480082,-0.043662656
dinoflagellate_diamond,0.009453279,-0.04965096,0.039535884,-0.03866103,-0.1657809,-0.066975884
dolichospermum,-0.40414712,0.1059444,0.0995965,0.026133949,0.09114998,-0.42026672
