,h0,h1,h2,h3,h4
aphanizomenon,1.3052722,0.64933926,-1.6984448,-0.42834762,-0.8102444
askenasia,-0.8407622,0.3637818,-0.9051611,-1.0695225,0.6670952
asplanchna,-0.068688996,-0.25970653,-1.3518436,0.46876204,1.5801826
asterionella,1.156734,-0.14051068,-2.533767,-1.6030854,-4.6963286
aulacoseira,4.1061106,-1.7963691,-0.5150718,-1.2849416,-0.19122311
bosmina,0.012725019,-1.0334402,-0.7699211,0.24435519,-0.33606347
centric_diatom,-0.50587726,-1.5999085,2.1528215,-1.1275848,-0.54903495
ceratium,1.0112953,1.4376309,0.06837151,-2.0099332,1.0373298
chaoborus,0.11555246,0.5596603,-2.5825539,-1.1762877,0.31791073
chlorophyte,-1.4507118,0.24980405,-1.5269872,-0.998862,-0.8146168
chlorophyte_colonial_dividing,-1.4999026,1.6010598,-1.7059299,-1.1072484,-0.8961168
chlorophyte_elongated,-0.9916186,0.36226007,-0.8915764,0.3633967,-0.31656647
chlorophyte_frame,-1.4068136,1.9758706,-1.8178158,0.012413286,-2.062598
chlorophyte_square,-1.623449,1.1911174,-1.6999773,-1.279766,-1.2351707
chroococcales,-2.1945379,2.3845267,-2.9000478,-2.3747556,-1.2294164
chydorus,-1.6011683,-2.2653484,-4.0590787,-3.4081206,-0.3738361
ciliate,-0.61254567,-0.49877107,-0.024627272,0.4389512,0.39128053
ciliate_big,1.6636971,-1.2176125,-3.0949564,-2.2680383,-2.8001297
ciliate_blue,-0.42143306,0.16701399,-0.92744786,-0.23335758,-0.6525817
ciliate_green,0.057330083,1.2296916,-0.82843363,-1.0945262,1.8673171
ciliate_round,-0.4584588,-1.0789441,-0.14561422,-0.7146789,-0.8312216
closterium,-0.15136239,-0.101624995,-0.10949784,-1.3812158,-0.85940063
coelastrum_reticulatum,0.35840327,0.9557089,-1.5287646,-1.6347481,-13.945878
coelosphaerium,-2.1658354,2.3955858,-5.4240522,-3.3788817,-3.3823314
