date,h0,h1,h2,h3,h4,h5,h6
2024-01-15,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2023-10-18,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2024-02-13,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2022-02-26,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-08-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,1.0,1.0,1.0,1.0,0.0,1.0,0.0
2024-06-09,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2022-03-21,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2023-09-21,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2019-08-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-24,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-04-02,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2021-03-10,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2023-11-17,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-11-16,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2021-05-01,2.6362497e-36,1.0,1.0,1.0,0.0,1.0,0.0
2019-04-29,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2024-11-15,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-12-26,3.267536e-30,0.0,1.0,0.9365491,0.0,0.0,1.0
2021-02-14,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2024-12-20,1.0,0.0,7.1009927e-32,0.0,0.0,0.0,1.0
2020-02-14,0.0,0.0,1.0,0.0,0.0,3.0653815e-12,0.0
2019-07-02,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-11-12,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2022-03-25,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2023-10-30,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-04-20,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2024-09-09,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-18,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2019-09-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2022-07-04,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2019-08-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-05-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-09-21,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-04,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2021-10-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-05-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-12-13,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2023-05-19,0.0,0.0,1.0,1.0,0.0,1.0,1.7213031e-18
2024-04-17,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2021-11-18,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2024-10-24,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-04-22,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2023-07-14,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-07-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-09-28,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-08-31,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-08-03,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-07-15,0.0,0.0,0.0,0.0,0.0,9.290519e-26,0.0
2024-01-06,0.0,0.0,1.0,0.0,0.0,0.0,0.6913017
2021-05-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-08-11,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-11-14,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2019-09-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-27,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2024-06-13,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2024-09-12,6.5203722e-37,0.0,0.0,0.0,0.0,1.0,0.0
2024-12-23,1.0,0.0,3.9022773e-16,0.0,0.0,0.0,1.0
2023-09-17,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-05-04,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2020-02-13,0.0,0.0,1.0,0.0,0.0,0.9999987,0.0
2023-08-28,1.0,0.0,1.0,0.0,0.0,1.0,0.0
