,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,1.8839504,1.916602,1.2466067,-1.2160984,2.0629752,1.7623011,1.8980886
askenasia,0.2890213,0.2553936,0.57321185,-0.22064802,0.69061565,0.5678857,0.22427586
asplanchna,-0.20942684,0.11891991,0.1386857,0.46483594,-0.105848305,0.13527697,-0.41092378
asterionella,0.34934986,0.4516299,0.30380052,-0.22772585,0.6090808,0.9689724,0.66125095
aulacoseira,0.54122645,0.37347564,1.0496007,-0.25112373,0.43329057,0.6665873,0.32052287
bosmina,0.34633976,0.41484645,0.6910312,0.096355736,0.6776129,0.52504885,0.48800036
centric_diatom,0.17839468,0.105142415,-0.26746288,0.17378613,-0.08245739,-0.27420947,0.18295962
ceratium,0.5286404,0.59926116,0.2661316,-0.17944373,0.43283668,0.42760995,0.6549096
chaoborus,0.13935718,0.089432515,-0.098089956,0.35555896,0.2592313,0.079723485,0.3086423
chlorophyte,0.20085303,0.33530915,-0.021888388,-0.016901588,0.19887353,0.078929015,0.3843456
chlorophyte_colonial_dividing,0.74596983,0.7300474,0.5760396,0.019811276,1.0060622,0.49678388,0.9262474
chlorophyte_elongated,0.19187446,0.39401612,0.108798265,-0.09173246,0.4974138,-0.22789206,0.35965738
chlorophyte_frame,0.74556017,1.1920066,1.0853816,-0.22318299,0.81818795,0.8204254,0.7730806
chlorophyte_square,0.6619627,0.5087753,0.56745225,-0.11790052,0.33003438,0.42736587,0.42643735
chroococcales,0.66309494,0.7060837,0.8287452,-0.26813197,0.8439589,0.977249,0.72031254
chydorus,-0.090668805,0.3570119,0.03255752,0.22490692,0.18581596,-0.20841429,0.09322103
ciliate,-0.31853995,-0.0854823,0.1532754,0.28340513,-0.29278407,-0.29749015,-0.18448913
ciliate_big,0.37129933,0.759488,0.29744273,-0.039842818,0.20800523,0.23927836,0.2365203
ciliate_blue,1.1527576,1.0581369,1.039521,-0.59376466,0.839462,1.4859433,0.96807855
ciliate_green,0.90395886,0.3491256,0.38570872,-0.4929303,0.73591703,0.53992957,0.8853193
ciliate_round,0.34282997,0.22059482,0.47671863,0.18996452,0.20991558,0.5109464,0.3214198
closterium,0.7289511,0.82637143,0.76806414,-0.4466844,0.8737662,0.8994783,0.60620975
coelastrum_reticulatum,0.34951392,0.3296189,0.43779156,-0.1514548,0.54702634,0.18989785,0.36843792
coelosphaerium,0.12754536,0.22932218,0.4653199,0.24301769,0.3938414,0.02614201,0.33559555
coleps,0.22876741,0.34236237,0.2364592,-0.079782516,-0.033895284,0.3094351,0.1891569
collotheca,0.9661933,0.98503906,0.87921715,-0.2774194,1.0200914,0.59606254,1.1318184
conochilus,-0.35908663,-0.4865632,-0.86519647,0.5005461,-0.50324386,-0.6903074,-0.32414067
cosmarium,0.56689245,0.46854746,0.37350738,-0.34507632,0.46689433,0.35037184,0.62379616
cryptophyte,-0.07157287,-0.1794,-0.57438254,0.38948727,-0.21373382,-0.5160091,-0.09010726
cyanobacteria_colonial_blue,0.238209,0.20040166,-0.26771086,-0.20910257,0.3598234,0.28384203,0.33184153
cyanobacteria_colonial_clathrate,0.0904936,-0.062477067,-0.49682018,0.031086538,0.116900526,-0.34547737,0.0625669
cyanobacteria_colonial_probably,0.82111955,0.9480772,1.2203225,-0.011100222,0.78960323,1.4566048,0.7187135
cyanobacteria_filamentous,0.63284075,0.40082926,-0.13357049,-0.19666244,0.5703317,0.3654678,0.63508654
cyclops,0.3983242,0.5934689,0.22546332,-0.09701168,0.61181664,0.62852633,0.5397059
daphnia,-0.23519962,0.015839593,-0.36925423,0.21111414,0.12600067,0.028074613,-0.0013124972
daphnia_cucullata,0.14127216,0.3338766,-0.11095092,0.12973616,0.22827804,0.49877784,0.28598493
diaphanosoma,0.6751688,1.1966379,1.904022,0.21144803,0.7603192,1.2672968,0.6374034
didinium,0.68246865,0.80471337,1.4743997,-0.19350053,0.85288024,1.1858963,0.75918806
dinobryon,0.058718104,0.42835906,0.62484103,0.3208849,0.04170678,0.05042104,0.048980225
dinoflagellate_diamond,0.92320704,0.96234643,1.1165836,-0.41775405,0.9565718,1.1149843,0.9810765
